[2025-11-02 10:03:26] [injury_orchestrator] [INFO] InjuryOrchestratorAgent starting...
[2025-11-02 10:03:26] [injury_orchestrator] [INFO] Initializing InjuryOrchestratorAgent
[2025-11-02 10:06:27] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:06:29] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:06:31] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:06:34] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:06:36] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:06:38] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:06:40] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:06:42] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:06:44] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:06:46] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:06:48] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:06:50] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:06:52] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:06:54] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:06:56] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:06:58] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:07:00] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:07:02] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:07:05] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:07:07] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:07:09] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:07:11] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:07:13] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:07:15] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:07:17] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:07:19] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:07:21] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:07:23] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:07:25] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:07:27] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:07:29] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:07:31] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:07:34] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:07:36] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:07:38] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:07:40] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:07:42] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:07:44] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:07:46] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:07:48] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:07:50] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:07:52] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:07:54] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:07:56] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:07:58] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:08:00] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:08:03] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:08:05] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:08:07] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:08:09] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:08:11] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:08:13] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:08:15] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:08:17] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:08:19] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:08:21] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:08:23] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:08:25] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:08:27] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:08:29] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:08:32] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:08:34] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:08:36] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:08:38] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:08:40] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:08:42] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:08:44] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:08:46] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:08:48] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:08:50] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:08:52] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:08:54] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:08:56] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:08:58] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:09:00] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:09:02] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:09:05] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:09:07] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:09:09] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:09:11] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:09:13] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:09:15] [injury_orchestrator] [INFO] Processing 2 delegation(s)
[2025-11-02 10:09:17] [injury_orchestrator] [INFO] Processing 2 delegation(s)
